Delta (ms),Jitter (ms),Skew(ms),IP BW (kbps)
"14,93","4,25","-1,25","59,40"
"20,94","4,04","-2,19","59,30"
"19,66","3,81","-1,85","59,26"
"21,24","3,65","-3,09","59,26"
"20,03","3,42","-3,12","58,04"
"25,13","3,53","-8,25","57,94"
"18,34","3,41","-6,60","58,94"
"16,21","3,44","-2,81","58,76"
"20,65","3,26","-3,46","57,58"
"15,10","3,37","1,45","58,69"
"24,60","3,44","-3,16","58,64"
"15,23","3,53","1,61","58,61"
"27,82","3,79","-6,21","57,28"
"16,29","3,79","-2,50","57,19"
"20,31","3,57","-2,82","58,20"
"22,11","3,48","-4,92","58,02"
"18,36","3,37","-3,29","57,81"
"16,83","3,35","-0,12","57,59"
"25,63","3,50","-5,75","56,18"
"21,25","3,36","-7,00","55,99"
"15,76","3,41","-2,76","57,02"
"23,75","3,43","-6,51","55,84"
"13,45","3,63","0,04","55,70"
"21,47","3,49","-1,43","56,86"
"23,98","3,52","-5,41","55,70"
"15,71","3,57","-1,12","55,54"
"22,28","3,49","-3,40","56,66"
"15,73","3,54","0,87","56,44"
"24,72","3,61","-3,85","55,08"
"23,87","3,63","-7,71","55,06"
"21,49","3,50","-9,21","54,96"
"7,96","4,03","2,84","56,07"
"21,27","3,86","1,57","54,79"
"24,81","3,92","-3,24","54,67"
"15,13","3,98","1,63","55,70"
"22,69","3,90","-1,06","55,62"
"20,04","3,65","-1,10","54,43"
"21,66","3,53","-2,76","54,40"
"18,18","3,42","-0,94","55,51"
"27,29","3,66","-8,24","54,23"
"19,56","3,46","-7,79","54,13"
"18,76","3,32","-6,56","54,18"
"11,54","3,65","1,90","55,28"
"23,25","3,62","-1,35","55,23"
"16,11","3,64","2,54","55,28"
"30,46","4,06","-7,92","54,18"
"14,76","4,14","-2,68","54,26"
"14,82","4,20","2,51","55,41"
"24,29","4,21","-1,78","54,37"
"21,52","4,04","-3,30","55,54"
"20,55","3,82","-3,84","54,53"
"22,08","3,71","-5,92","54,61"
"16,17","3,72","-2,09","54,61"
"25,84","3,85","-7,93","54,59"
"17,55","3,76","-5,48","54,64"
"17,52","3,68","-3,00","55,66"
"21,44","3,54","-4,44","55,56"
"23,00","3,51","-7,45","54,74"
"9,52","3,95","3,03","55,94"
"27,53","4,17","-4,50","54,94"
"15,09","4,22","0,42","56,10"
"21,34","4,04","-0,92","55,11"
"20,69","3,83","-1,61","56,38"
"20,11","3,60","-1,72","56,54"
"23,32","3,58","-5,04","55,67"
"15,05","3,66","-0,09","56,90"
"23,64","3,66","-3,73","56,17"
"16,25","3,67","0,02","57,42"
"22,93","3,62","-2,91","57,66"
"14,17","3,76","2,92","57,82"
"21,77","3,64","1,15","58,07"
"17,08","3,59","4,08","58,23"
"24,96","3,68","-0,89","57,27"
"10,98","4,01","8,13","58,48"
"37,23","4,84","-9,10","57,41"
"11,06","5,09","-0,16","58,52"
"16,88","4,97","2,96","58,59"
"25,86","5,03","-2,90","57,62"
"31,47","5,43","-14,37","57,67"
"11,42","5,63","-5,79","58,82"
"14,36","5,63","-0,15","58,82"
"20,51","5,31","-0,66","57,85"
"19,29","5,02","0,05","57,96"
